"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"GTPP_CANCEL_DRT_RESPONSE_RCVD","NUMBER","Yes","",25,"","YES","YES","YES"
"GTPP_RELEASE_DRT_RESPONSE_RCVD","NUMBER","Yes","",26,"","YES","YES","YES"
"GTPP_SUCC_DRT_REQ_CC_SEND","NUMBER","Yes","",27,"","YES","YES","YES"
"GTPP_SUCC_DRT_REQ_CC_SEND_PDUP","NUMBER","Yes","",28,"","YES","YES","YES"
"GTPP_SUCC_DRT_REQ_CC_CANCEL","NUMBER","Yes","",29,"","YES","YES","YES"
"GTPP_SUCC_DRT_REQ_CC_RELEASE","NUMBER","Yes","",30,"","YES","YES","YES"
"FING_ID","NUMBER","No","",1,"","YES","YES","YES"
"FNODE_ID","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"CG_ID","VARCHAR2(255)","No","",3,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",4,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",5,"","YES","YES","YES"
"GTPP_ECHO_REQUEST_SENT","NUMBER","Yes","",6,"","YES","YES","YES"
"GTPP_ECHO_RESPONSE_RECEIVED","NUMBER","Yes","",7,"","YES","YES","YES"
"GTPP_ECHO_REQUEST_RETRY_SENT","NUMBER","Yes","",8,"","YES","YES","YES"
"GTPP_CONN_LOST_TO_PEER_UP","NUMBER","Yes","",9,"","YES","YES","YES"
"GTPP_CONN_LOST_TO_PEER_DOWN","NUMBER","Yes","",10,"","YES","YES","YES"
"GTPP_NODE_ALIVE_REQ_RECEIVED","NUMBER","Yes","",11,"","YES","YES","YES"
"GTPP_NODE_ALIVE_RESP_SENT","NUMBER","Yes","",12,"","YES","YES","YES"
"GTPP_DRT_REQUEST_SENT","NUMBER","Yes","",13,"","YES","YES","YES"
"GTPP_PD_DRT_REQUEST_SENT","NUMBER","Yes","",14,"","YES","YES","YES"
"GTPP_EMPTY_DRT_REQUEST_SENT","NUMBER","Yes","",15,"","YES","YES","YES"
"GTPP_CANCEL_DRT_REQUEST_SENT","NUMBER","Yes","",16,"","YES","YES","YES"
"GTPP_RELEASE_DRT_REQUEST_SENT","NUMBER","Yes","",17,"","YES","YES","YES"
"GTPP_ECHO_REQUEST_RECEIVED","NUMBER","Yes","",18,"","YES","YES","YES"
"GTPP_ECHO_RESPONSE_SENT","NUMBER","Yes","",19,"","YES","YES","YES"
"GTPP_NODE_ALIVE_REQUEST_SENT","NUMBER","Yes","",20,"","YES","YES","YES"
"GTPP_NODE_ALIVE_RESP_RECEIVED","NUMBER","Yes","",21,"","YES","YES","YES"
"GTPP_DRT_RESPONSE_RECEIVED","NUMBER","Yes","",22,"","YES","YES","YES"
"GTPP_PD_DRT_RESPONSE_RECEIVED","NUMBER","Yes","",23,"","YES","YES","YES"
"GTPP_EMPTY_DRT_RESPONSE_RCVD","NUMBER","Yes","",24,"","YES","YES","YES"
