"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"FING_ID","NUMBER","No","",1,"","YES","YES","YES"
"FNODE_ID","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"GTPU_ID","VARCHAR2(255)","No","",3,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",4,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",5,"","YES","YES","YES"
"GPDU_BYTES_RECV_UP_ACCESS_IF","NUMBER","Yes","",6,"","YES","YES","YES"
"GPDU_PKTS_RECV_UP_ACCESS_IF","NUMBER","Yes","",7,"","YES","YES","YES"
"GPDU_BYTES_SENT_UP_ACCESS_IF","NUMBER","Yes","",8,"","YES","YES","YES"
"GPDU_PKTS_SENT_UP_ACCESS_IF","NUMBER","Yes","",9,"","YES","YES","YES"
"GTPU_GPDU_PKTS_SENT_S5_S_GW","NUMBER","Yes","",10,"","YES","YES","YES"
"GTPU_GPDU_PKTS_RECV_S5_S_GW","NUMBER","Yes","",11,"","YES","YES","YES"
"GTPU_TPDU_BYTES_SENT_S5_S_GW","NUMBER","Yes","",12,"","YES","YES","YES"
"GTPU_TPDU_BYTES_RECV_S5_S_GW","NUMBER","Yes","",13,"","YES","YES","YES"
"GTPU_GPDU_PKTS_SENT_S1_U","NUMBER","Yes","",14,"","YES","YES","YES"
"GTPU_GPDU_PKTS_RECV_S1_U","NUMBER","Yes","",15,"","YES","YES","YES"
"GTPU_TPDU_BYTES_SENT_S1_U","NUMBER","Yes","",16,"","YES","YES","YES"
"GTPU_TPDU_BYTES_RECV_S1_U","NUMBER","Yes","",17,"","YES","YES","YES"
"GTPU_GPDU_PKTS_SENT_S5_P_GW","NUMBER","Yes","",18,"","YES","YES","YES"
"GTPU_GPDU_PKTS_RECV_S5_P_GW","NUMBER","Yes","",19,"","YES","YES","YES"
"GTPU_TPDU_BYTES_SENT_S5_P_GW","NUMBER","Yes","",20,"","YES","YES","YES"
"GTPU_TPDU_BYTES_RECV_S5_P_GW","NUMBER","Yes","",21,"","YES","YES","YES"
