"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"FING_ID","NUMBER","No","",1,"","YES","YES","YES"
"FNODE_ID","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"IP_ID","VARCHAR2(255)","No","",3,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",4,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",5,"","YES","YES","YES"
"IPV4_TPDU_PACKETS_SENT","NUMBER","Yes","",6,"","YES","YES","YES"
"IPV4_TPDU_PACKETS_RECEIVED","NUMBER","Yes","",7,"","YES","YES","YES"
"IPV4_TPDU_BYTES_SENT","NUMBER","Yes","",8,"","YES","YES","YES"
"IPV4_TPDU_BYTES_RECEIVED","NUMBER","Yes","",9,"","YES","YES","YES"
"IP_DL_PKTS_DROPPED_NO_SESSION","NUMBER","Yes","",10,"","YES","YES","YES"
"IPV6_TPDU_PACKETS_SENT","NUMBER","Yes","",11,"","YES","YES","YES"
"IPV6_TPDU_PACKETS_RECEIVED","NUMBER","Yes","",12,"","YES","YES","YES"
"IPV6_TPDU_BYTES_SENT","NUMBER","Yes","",13,"","YES","YES","YES"
"IPV6_TPDU_BYTES_RECEIVED","NUMBER","Yes","",14,"","YES","YES","YES"
"ICMPV6_ROUTER_SOLICIT_RECEIVED","NUMBER","Yes","",15,"","YES","YES","YES"
"ICMPV6_ROUTER_SOLICIT_DROPPED","NUMBER","Yes","",16,"","YES","YES","YES"
"ICMPV6_ROUTER_ADVERT_SENT","NUMBER","Yes","",17,"","YES","YES","YES"
"IPV6_LINK_LOCAL_ADDR_DROPPED","NUMBER","Yes","",18,"","YES","YES","YES"
"ICMPV6_ROUTER_ADV_SEND_FAILED","NUMBER","Yes","",19,"","YES","YES","YES"
"ICMPV6_NS_RECEIVED","NUMBER","Yes","",20,"","YES","YES","YES"
"ICMPV6_NS_DROPPED","NUMBER","Yes","",21,"","YES","YES","YES"
"ICMPV6_NA_SENT","NUMBER","Yes","",22,"","YES","YES","YES"
"ICMPV6_NA_SEND_FAILED","NUMBER","Yes","",23,"","YES","YES","YES"
"ICMPV4_ERROR_INDICATION_SENT","NUMBER","Yes","",24,"","YES","YES","YES"
"ICMPV4_ERR_INDICATION_RECEIVED","NUMBER","Yes","",25,"","YES","YES","YES"
"ICMPV4_ERROR_INDICATION_RECV","NUMBER","Yes","",26,"","YES","YES","YES"
