"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"SM_AVE_NBR_ACT_BEAR_P_GW","NUMBER","Yes","",110,"","YES","YES","YES"
"SM_MAX_NBR_ACT_SESS_P_GW","NUMBER","Yes","",111,"","YES","YES","YES"
"SM_AVE_NBR_ACT_SESS_P_GW","NUMBER","Yes","",112,"","YES","YES","YES"
"SM_NBR_ACT_DEDIC_BEAR_P_GW","NUMBER","Yes","",113,"","YES","YES","YES"
"SM_MAX_NBR_ACT_DEDIC_BEAR_P_GW","NUMBER","Yes","",114,"","YES","YES","YES"
"SM_AVE_NBR_ACT_DEDIC_BEAR_P_GW","NUMBER","Yes","",115,"","YES","YES","YES"
"SM_MAX_NBR_ACT_P_GW_UE","NUMBER","Yes","",116,"","YES","YES","YES"
"SM_AVE_NBR_ACT_P_GW_UE","NUMBER","Yes","",117,"","YES","YES","YES"
"SM_NBR_ACT_DEDIC_BEAR_PGW_PMIP","NUMBER","Yes","",118,"","YES","YES","YES"
"SM_FAIL_IP_ADDR_ALLOC_QUAR_TI","NUMBER","Yes","",119,"","YES","YES","YES"
"SM_SUCC_BEAR_ACT","NUMBER","Yes","",120,"","YES","YES","YES"
"SM_SUCC_UTRAN_BEAR_ACT","NUMBER","Yes","",121,"","YES","YES","YES"
"SM_SUCC_GERAN_BEAR_ACT","NUMBER","Yes","",122,"","YES","YES","YES"
"SM_FAIL_BEAR_ACT","NUMBER","Yes","",123,"","YES","YES","YES"
"SM_FAIL_UTRAN_BEAR_ACT","NUMBER","Yes","",124,"","YES","YES","YES"
"SM_FAIL_GERAN_BEAR_ACT","NUMBER","Yes","",125,"","YES","YES","YES"
"SM_SUC_SES_ACT_W_DYNIP_ADR","NUMBER","Yes","",126,"","YES","YES","YES"
"SM_SUC_UT_SES_ACT_W_DYNIP_ADR","NUMBER","Yes","",127,"","YES","YES","YES"
"SM_SUC_GE_SES_ACT_W_DYNIP_ADR","NUMBER","Yes","",128,"","YES","YES","YES"
"SM_FAIL_SES_ACT_W_DYNIP_ADR","NUMBER","Yes","",129,"","YES","YES","YES"
"SM_FAIL_UT_SES_ACT_W_DYNIP_ADR","NUMBER","Yes","",130,"","YES","YES","YES"
"SM_FAIL_GE_SES_ACT_W_DYNIP_ADR","NUMBER","Yes","",131,"","YES","YES","YES"
"SM_BEAR_DEACT_NG_TERM","NUMBER","Yes","",132,"","YES","YES","YES"
"SM_UTRAN_BEAR_DEACT_NG_TERM","NUMBER","Yes","",133,"","YES","YES","YES"
"SM_GERAN_BEAR_DEACT_NG_TERM","NUMBER","Yes","",134,"","YES","YES","YES"
"SM_BEAR_DEACT_NG_INIT","NUMBER","Yes","",135,"","YES","YES","YES"
