"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"S6A_NOTIFY_ANSWER_FAIL","NUMBER","Yes","",33,"","YES","YES","YES"
"S6A_RESET_REQUEST_RCV","NUMBER","Yes","",34,"","YES","YES","YES"
"S6A_RESET_ANSWER_SENT","NUMBER","Yes","",35,"","YES","YES","YES"
"DIA_RESENT_MESSAGE","NUMBER","Yes","",36,"","YES","YES","YES"
"DIA_REROUTED_MESSAGE","NUMBER","Yes","",37,"","YES","YES","YES"
"S6A_AUTH_INFORMATION_REQ_SENT","NUMBER","Yes","",6,"","YES","YES","YES"
"S6A_AUTH_INFORMATION_ANS_RCV","NUMBER","Yes","",7,"","YES","YES","YES"
"S6A_PURGE_UE_REQUEST_SENT","NUMBER","Yes","",8,"","YES","YES","YES"
"S6A_PURGE_UE_ANSWER_RCV","NUMBER","Yes","",9,"","YES","YES","YES"
"S6A_NOTIFY_REQUEST_SENT","NUMBER","Yes","",10,"","YES","YES","YES"
"S6A_NOTIFY_ANSWER_RCV","NUMBER","Yes","",11,"","YES","YES","YES"
"S6A_CANCEL_LOCATION_REQ_RCV","NUMBER","Yes","",12,"","YES","YES","YES"
"S6A_CANCEL_LOCATION_ANS_SENT","NUMBER","Yes","",13,"","YES","YES","YES"
"S6A_INSERT_SUBS_DATA_REQ_RCV","NUMBER","Yes","",14,"","YES","YES","YES"
"S6A_INSERT_SUBS_DATA_ANS_SENT","NUMBER","Yes","",15,"","YES","YES","YES"
"S6A_DELETE_SUBS_DATA_REQ_RCV","NUMBER","Yes","",16,"","YES","YES","YES"
"S6A_DELETE_SUBS_DATA_ANS_SENT","NUMBER","Yes","",17,"","YES","YES","YES"
"DIA_CAPABILITY_EXCH_REQ_SENT","NUMBER","Yes","",18,"","YES","YES","YES"
"DIA_CAPABILITY_EXCH_ANS_RCV","NUMBER","Yes","",19,"","YES","YES","YES"
"DIA_DISCONNECT_PEER_ANS_SENT","NUMBER","Yes","",20,"","YES","YES","YES"
"DIA_DISCONNECT_PEER_REQ_RCV","NUMBER","Yes","",21,"","YES","YES","YES"
"DIA_DEVICE_WATCHDOG_REQ_SENT","NUMBER","Yes","",22,"","YES","YES","YES"
"DIA_DEVICE_WATCHDOG_ANS_SENT","NUMBER","Yes","",23,"","YES","YES","YES"
"DIA_DEVICE_WATCHDOG_REQ_RCV","NUMBER","Yes","",24,"","YES","YES","YES"
"DIA_DEVICE_WATCHDOG_ANS_RCV","NUMBER","Yes","",25,"","YES","YES","YES"
"DIA_SUCCESSFUL_CONNECTIONS","NUMBER","Yes","",26,"","YES","YES","YES"
"DIA_FAILED_CONNECTIONS","NUMBER","Yes","",27,"","YES","YES","YES"
"DIA_UNKNOWN_MSG_RCV","NUMBER","Yes","",28,"","YES","YES","YES"
"DIA_TRANSPORT_FAIL","NUMBER","Yes","",29,"","YES","YES","YES"
"S6A_UPDATE_LOCATION_ANS_FAIL","NUMBER","Yes","",30,"","YES","YES","YES"
"S6A_AUTH_INFORMATION_ANS_FAIL","NUMBER","Yes","",31,"","YES","YES","YES"
"S6A_PURGE_UE_ANSWER_FAIL","NUMBER","Yes","",32,"","YES","YES","YES"
"FINS_ID","NUMBER","No","",1,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",2,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",3,"","YES","YES","YES"
"S6A_UPDATE_LOCATION_REQ_SENT","NUMBER","Yes","",4,"","YES","YES","YES"
"S6A_UPDATE_LOCATION_ANS_RCV","NUMBER","Yes","",5,"","YES","YES","YES"
