"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"TCPIP_ICP6S_OUTNIQUERY","NUMBER","Yes","",302,"","YES","YES","YES"
"TCPIP_ICP6S_OUTNIREPLY","NUMBER","Yes","",303,"","YES","YES","YES"
"TCPIP_ICP6S_BADCODE","NUMBER","Yes","",304,"","YES","YES","YES"
"TCPIP_ICP6S_TOOSHORT","NUMBER","Yes","",305,"","YES","YES","YES"
"TCPIP_ICP6S_CHECKSUM","NUMBER","Yes","",306,"","YES","YES","YES"
"TCPIP_ICP6S_BADLEN","NUMBER","Yes","",307,"","YES","YES","YES"
"TCPIP_ICP6S_REFLECT","NUMBER","Yes","",308,"","YES","YES","YES"
"TCPIP_ICP6S_INDSTUNREACH","NUMBER","Yes","",309,"","YES","YES","YES"
"TCPIP_ICP6S_INPKTTOOBIG","NUMBER","Yes","",310,"","YES","YES","YES"
"TCPIP_ICP6S_INTIMEEXCEED","NUMBER","Yes","",311,"","YES","YES","YES"
"TCPIP_ICP6S_INPARAMPROB","NUMBER","Yes","",312,"","YES","YES","YES"
"TCPIP_ICP6S_INECHO","NUMBER","Yes","",313,"","YES","YES","YES"
"TCPIP_ICP6S_INECHOREPLY","NUMBER","Yes","",314,"","YES","YES","YES"
"TCPIP_ICP6S_INMLDQUERY","NUMBER","Yes","",315,"","YES","YES","YES"
"TCPIP_ICP6S_INMLDREPORT","NUMBER","Yes","",316,"","YES","YES","YES"
"TCPIP_ICP6S_INMLDDONE","NUMBER","Yes","",317,"","YES","YES","YES"
"TCPIP_ICP6S_INROUTERSOLICIT","NUMBER","Yes","",318,"","YES","YES","YES"
"TCPIP_ICP6S_INROUTERADVERT","NUMBER","Yes","",319,"","YES","YES","YES"
"TCPIP_ICP6S_INNEIGHBORSOLICIT","NUMBER","Yes","",320,"","YES","YES","YES"
"TCPIP_ICP6S_INNEIGHBORADVERT","NUMBER","Yes","",321,"","YES","YES","YES"
"TCPIP_ICP6S_INREDIRECT","NUMBER","Yes","",322,"","YES","YES","YES"
"TCPIP_ICP6S_INROUTERRENUMBER","NUMBER","Yes","",323,"","YES","YES","YES"
"TCPIP_ICP6S_INNIQUERY","NUMBER","Yes","",324,"","YES","YES","YES"
"TCPIP_ICP6S_INNIREPLY","NUMBER","Yes","",325,"","YES","YES","YES"
"TCPIP_ICP6S_DSTUNREACHNOROUTE","NUMBER","Yes","",326,"","YES","YES","YES"
"TCPIP_ICP6S_DSTUNREACHADMIN","NUMBER","Yes","",327,"","YES","YES","YES"
"TCPIP_ICP6S_DSTUNREACHBEYONDSC","NUMBER","Yes","",328,"","YES","YES","YES"
"TCPIP_ICP6S_DSTUNREACHADDR","NUMBER","Yes","",329,"","YES","YES","YES"
"TCPIP_ICP6S_DSTUNREACHNOPORT","NUMBER","Yes","",330,"","YES","YES","YES"
"TCPIP_ICP6S_PACKETTOOBIG","NUMBER","Yes","",331,"","YES","YES","YES"
"TCPIP_ICP6S_TIMEEXCEEDTRANSIT","NUMBER","Yes","",332,"","YES","YES","YES"
"TCPIP_ICP6S_TIMEEXCEEDREASSEMB","NUMBER","Yes","",333,"","YES","YES","YES"
"TCPIP_ICP6S_PARAMPROBHEADER","NUMBER","Yes","",334,"","YES","YES","YES"
"TCPIP_ICP6S_PARAMPROBNEXTHEA","NUMBER","Yes","",335,"","YES","YES","YES"
"TCPIP_ICP6S_PARAMPROBOPTION","NUMBER","Yes","",336,"","YES","YES","YES"
"TCPIP_ICP6S_REDIRECT","NUMBER","Yes","",337,"","YES","YES","YES"
"TCPIP_ICP6S_UNKNOWN","NUMBER","Yes","",338,"","YES","YES","YES"
"TCPIP_ICP6S_ND_TOOMANYOPT","NUMBER","Yes","",339,"","YES","YES","YES"
"TCPIP_UDP6S_IPACKETS","NUMBER","Yes","",340,"","YES","YES","YES"
"TCPIP_UDP6S_HDROPS","NUMBER","Yes","",341,"","YES","YES","YES"
"TCPIP_UDP6S_BADLEN","NUMBER","Yes","",342,"","YES","YES","YES"
"TCPIP_UDP6S_BADSUM","NUMBER","Yes","",343,"","YES","YES","YES"
"TCPIP_UDP6S_NOSUM","NUMBER","Yes","",344,"","YES","YES","YES"
"TCPIP_UDP6S_NOPORT","NUMBER","Yes","",345,"","YES","YES","YES"
"TCPIP_UDP6S_NOPORTMCAST","NUMBER","Yes","",346,"","YES","YES","YES"
"TCPIP_UDP6S_FULLSOCK","NUMBER","Yes","",347,"","YES","YES","YES"
"TCPIP_UDP6S_PCBCACHEMISS","NUMBER","Yes","",348,"","YES","YES","YES"
"TCPIP_UDP6S_OPACKETS","NUMBER","Yes","",349,"","YES","YES","YES"
"TCPIP_IPS_FORWARDING","NUMBER","Yes","",350,"","YES","YES","YES"
"TCPIP_IPS_DEFAULTTTL","NUMBER","Yes","",351,"","YES","YES","YES"
"TCPIP_IPS_REASMTIMEOUT","NUMBER","Yes","",352,"","YES","YES","YES"
"TCPIP_IPS_REASMREQDS","NUMBER","Yes","",353,"","YES","YES","YES"
"TCPIP_IPS_REASMFAILS","NUMBER","Yes","",354,"","YES","YES","YES"
"TCPIP_IPS_INADDRERRORS","NUMBER","Yes","",355,"","YES","YES","YES"
"TCPIP_ICPS_INMSGS","NUMBER","Yes","",356,"","YES","YES","YES"
"TCPIP_ICPS_OUTMSGS","NUMBER","Yes","",357,"","YES","YES","YES"
"TCPIP_ICPS_OUTECHOREPS","NUMBER","Yes","",358,"","YES","YES","YES"
"TCPIP_TCPS_INERRS","NUMBER","Yes","",359,"","YES","YES","YES"
"TCPIP_TCPS_OUTRSTS","NUMBER","Yes","",360,"","YES","YES","YES"
"TCPIP_IP6S_INTOOBIGERRORS","NUMBER","Yes","",361,"","YES","YES","YES"
"TCPIP_IP6S_INMCASTPKTS","NUMBER","Yes","",362,"","YES","YES","YES"
"TCPIP_IP6S_OUTMCASTPKTS","NUMBER","Yes","",363,"","YES","YES","YES"
"TCPIP_IP6S_REASMTIMEOUT","NUMBER","Yes","",364,"","YES","YES","YES"
"TCPIP_IP6S_REASMREQDS","NUMBER","Yes","",365,"","YES","YES","YES"
"TCPIP_IP6S_OUTREQUESTS","NUMBER","Yes","",366,"","YES","YES","YES"
"TCPIP_IP6S_INHDRERRORS","NUMBER","Yes","",367,"","YES","YES","YES"
"TCPIP_ICP6S_INMSGS","NUMBER","Yes","",368,"","YES","YES","YES"
"TCPIP_ICP6S_OUTGMEMBRESPONSES","NUMBER","Yes","",369,"","YES","YES","YES"
"TCPIP_ICP6S_OUTGMEMBREDUCTIONS","NUMBER","Yes","",370,"","YES","YES","YES"
"TCPIP_ICP6S_OUTMSGS","NUMBER","Yes","",371,"","YES","YES","YES"
"TCPIP_SCTP_CURRESTAB","NUMBER","Yes","",372,"","YES","YES","YES"
"TCPIP_SCTP_ACTIVEESTABS","NUMBER","Yes","",373,"","YES","YES","YES"
"TCPIP_SCTP_PASSIVEESTABS","NUMBER","Yes","",374,"","YES","YES","YES"
"TCPIP_SCTP_ABORTEDS","NUMBER","Yes","",375,"","YES","YES","YES"
"TCPIP_SCTP_SHUTDOWNS","NUMBER","Yes","",376,"","YES","YES","YES"
"TCPIP_SCTP_OUTOFBLUES","NUMBER","Yes","",377,"","YES","YES","YES"
"TCPIP_SCTP_CHECKSUMERRORS","NUMBER","Yes","",378,"","YES","YES","YES"
"TCPIP_SCTP_OUTCTRLCHUNKS","NUMBER","Yes","",379,"","YES","YES","YES"
"TCPIP_SCTP_OUTORDERCHUNKS","NUMBER","Yes","",380,"","YES","YES","YES"
"TCPIP_SCTP_OUTUNORDERCHUNKS","NUMBER","Yes","",381,"","YES","YES","YES"
"TCPIP_SCTP_INCTRLCHUNKS","NUMBER","Yes","",382,"","YES","YES","YES"
"TCPIP_SCTP_INORDERCHUNKS","NUMBER","Yes","",383,"","YES","YES","YES"
"TCPIP_SCTP_INUNORDERCHUNKS","NUMBER","Yes","",384,"","YES","YES","YES"
"TCPIP_SCTP_FRAGUSRMSGS","NUMBER","Yes","",385,"","YES","YES","YES"
"TCPIP_SCTP_REASMUSRMSGS","NUMBER","Yes","",386,"","YES","YES","YES"
"TCPIP_SCTP_OUTSCTPPACKS","NUMBER","Yes","",387,"","YES","YES","YES"
"TCPIP_SCTP_INSCTPPACKS","NUMBER","Yes","",388,"","YES","YES","YES"
"TCPIP_SCTP_T1INITEXPIREDS","NUMBER","Yes","",389,"","YES","YES","YES"
"TCPIP_SCTP_T1COOKIEEXPIREDS","NUMBER","Yes","",390,"","YES","YES","YES"
"TCPIP_SCTP_T2SHUTDOWNEXPIREDS","NUMBER","Yes","",391,"","YES","YES","YES"
"TCPIP_SCTP_T3RTXEXPIREDS","NUMBER","Yes","",392,"","YES","YES","YES"
"TCPIP_SCTP_T4RTOEXPIREDS","NUMBER","Yes","",393,"","YES","YES","YES"
"TCPIP_SCTP_T5SDGUARDEXPIREDS","NUMBER","Yes","",394,"","YES","YES","YES"
"TCPIP_SCTP_DELAYSACKEXPIREDS","NUMBER","Yes","",395,"","YES","YES","YES"
"TCPIP_SCTP_AUTOCLOSEEXPIREDS","NUMBER","Yes","",396,"","YES","YES","YES"
"TCPIP_SCTP_T3RETRANSMITS","NUMBER","Yes","",397,"","YES","YES","YES"
"TCPIP_SCTP_PMTUDRETRANSMITS","NUMBER","Yes","",398,"","YES","YES","YES"
"TCPIP_SCTP_FASTRETRANSMITS","NUMBER","Yes","",399,"","YES","YES","YES"
"TCPIP_SCTP_INPKTSOFTIRQ","NUMBER","Yes","",400,"","YES","YES","YES"
"TCPIP_SCTP_INPKTBACKLOG","NUMBER","Yes","",401,"","YES","YES","YES"
