"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"SRVCC_EME_TO_CDMA_ATTEMPT","NUMBER","Yes","",43,"","YES","YES","YES"
"LOC_REPORT_CONTROL_NOT_START","NUMBER","Yes","",44,"","YES","YES","YES"
"LOC_REPORT_CONTROL_RESUMED","NUMBER","Yes","",45,"","YES","YES","YES"
"SRVCC_TO_CDMA_ATTEMPT","NUMBER","Yes","",46,"","YES","YES","YES"
"EPS_PURGE_HSS_OK_SUCC","NUMBER","Yes","",38,"","YES","YES","YES"
"EPS_PURGE_HSS_NOK_SUCC","NUMBER","Yes","",39,"","YES","YES","YES"
"SUBSCRIBER_MOVE_IN_S_MME_SUCC","NUMBER","Yes","",40,"","YES","YES","YES"
"SUBSCRIBER_MOVE_IN_S_MME_FAIL","NUMBER","Yes","",41,"","YES","YES","YES"
"SUBSCRIBER_MOVE_IN_T_MME_RCV","NUMBER","Yes","",42,"","YES","YES","YES"
"FINS_ID","NUMBER","No","",1,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",2,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",3,"","YES","YES","YES"
"EPS_ECM_CONN_MIN","NUMBER","Yes","",4,"","YES","YES","YES"
"EPS_ECM_CONN_MAX","NUMBER","Yes","",5,"","YES","YES","YES"
"EPS_ECM_IDLE_MIN","NUMBER","Yes","",6,"","YES","YES","YES"
"EPS_ECM_IDLE_MAX","NUMBER","Yes","",7,"","YES","YES","YES"
"EPS_EMM_REG_MIN","NUMBER","Yes","",8,"","YES","YES","YES"
"EPS_EMM_REG_MAX","NUMBER","Yes","",9,"","YES","YES","YES"
"EPS_EMM_DEREG_MIN","NUMBER","Yes","",10,"","YES","YES","YES"
"EPS_EMM_DEREG_MAX","NUMBER","Yes","",11,"","YES","YES","YES"
"EPS_ECM_CONN_SUM","NUMBER","Yes","",12,"","YES","YES","YES"
"EPS_ECM_CONN_DENOM","NUMBER","Yes","",13,"","YES","YES","YES"
"EPS_ECM_IDLE_SUM","NUMBER","Yes","",14,"","YES","YES","YES"
"EPS_ECM_IDLE_DENOM","NUMBER","Yes","",15,"","YES","YES","YES"
"PROVIDE_SUBS_LOCATION_SUCC","NUMBER","Yes","",16,"","YES","YES","YES"
"PROVIDE_SUBS_LOCATION_ABN_SUCC","NUMBER","Yes","",17,"","YES","YES","YES"
"PROVIDE_SUBS_LOCATION_ABN_FAIL","NUMBER","Yes","",18,"","YES","YES","YES"
"LOCATION_SERVICE_REQ_SUCC","NUMBER","Yes","",19,"","YES","YES","YES"
"LOCATION_SERVICE_REQ_FAIL","NUMBER","Yes","",20,"","YES","YES","YES"
"SRVCC_PS_AND_CS_HANDOVER_SUCC","NUMBER","Yes","",21,"","YES","YES","YES"
"SRVCC_CS_HANDOVER_SUCC","NUMBER","Yes","",22,"","YES","YES","YES"
"OVERLOAD_CONTROL_DROP_PROC","NUMBER","Yes","",23,"","YES","YES","YES"
"SRVCC_PS_AND_CS_HO_3G_FAIL","NUMBER","Yes","",24,"","YES","YES","YES"
"SRVCC_CS_HO_3G_FAIL","NUMBER","Yes","",25,"","YES","YES","YES"
"SRVCC_CS_HO_2G_SUCC","NUMBER","Yes","",26,"","YES","YES","YES"
"SRVCC_CS_HO_2G_FAIL","NUMBER","Yes","",27,"","YES","YES","YES"
"SRVCC_EME_HO_3G_SUCC","NUMBER","Yes","",28,"","YES","YES","YES"
"SRVCC_EME_HO_3G_FAIL","NUMBER","Yes","",29,"","YES","YES","YES"
"SRVCC_EME_HO_2G_SUCC","NUMBER","Yes","",30,"","YES","YES","YES"
"SRVCC_EME_HO_2G_FAIL","NUMBER","Yes","",31,"","YES","YES","YES"
"SRVCC_3G_CANCELLED","NUMBER","Yes","",32,"","YES","YES","YES"
"SRVCC_2G_CANCELLED","NUMBER","Yes","",33,"","YES","YES","YES"
"SRVCC_EME_3G_CANCELLED","NUMBER","Yes","",34,"","YES","YES","YES"
"SRVCC_EME_2G_CANCELLED","NUMBER","Yes","",35,"","YES","YES","YES"
"EPS_LICENSE_REG_FAIL","NUMBER","Yes","",36,"","YES","YES","YES"
"EPS_LICENSE_BEARER_FAIL","NUMBER","Yes","",37,"","YES","YES","YES"
