"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"IPPOOL_ALLOCATED_AVE_NBR","NUMBER","Yes","",9,"","YES","YES","YES"
"IPPOOL_ALLOCATED_MAX_NBR","NUMBER","Yes","",10,"","YES","YES","YES"
"FING_ID","NUMBER","No","",1,"","YES","YES","YES"
"FNODE_ID","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"IPPOOL_ID","VARCHAR2(255)","No","",3,"","YES","YES","YES"
"PERPOOL_ID","VARCHAR2(255)","No","",4,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",5,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",6,"","YES","YES","YES"
"IPPOOL_SIZE","NUMBER","Yes","",7,"","YES","YES","YES"
"IPPOOL_ALLOCATED","NUMBER","Yes","",8,"","YES","YES","YES"
