"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"FING_ID","NUMBER","No","",1,"","YES","YES","YES"
"FNODE_ID","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"RADIUS_ID","VARCHAR2(255)","No","",3,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",4,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",5,"","YES","YES","YES"
"RADIUS_AUTH_REQ_SENT","NUMBER","Yes","",6,"","YES","YES","YES"
"RADIUS_ACCT_REQ_START_SENT","NUMBER","Yes","",7,"","YES","YES","YES"
"RADIUS_AUTH_RESP_REC","NUMBER","Yes","",8,"","YES","YES","YES"
"RADIUS_AUTH_REJ_REC","NUMBER","Yes","",9,"","YES","YES","YES"
"RADIUS_ACCT_RESP_REC","NUMBER","Yes","",10,"","YES","YES","YES"
"RADIUS_BYTES_SENT","NUMBER","Yes","",11,"","YES","YES","YES"
"RADIUS_ACCT_REQ_STOP_SENT","NUMBER","Yes","",12,"","YES","YES","YES"
"RADIUS_MSG_RECV_DROPPED","NUMBER","Yes","",13,"","YES","YES","YES"
"RADIUS_BYTES_REC","NUMBER","Yes","",14,"","YES","YES","YES"
"RADIUS_ABORTED_REQ","NUMBER","Yes","",15,"","YES","YES","YES"
"RADIUS_PENDING_AUTH_REQ","NUMBER","Yes","",16,"","YES","YES","YES"
"RADIUS_PENDING_ACCT_REQ","NUMBER","Yes","",17,"","YES","YES","YES"
"RADIUS_AUTH_FAILOVER","NUMBER","Yes","",18,"","YES","YES","YES"
"RADIUS_ACCT_FAILOVER","NUMBER","Yes","",19,"","YES","YES","YES"
"RADIUS_AUTH_FAILBACK","NUMBER","Yes","",20,"","YES","YES","YES"
"RADIUS_ACCT_FAILBACK","NUMBER","Yes","",21,"","YES","YES","YES"
"ACCOUNTING_ON","NUMBER","Yes","",22,"","YES","YES","YES"
"ACCOUNTING_DROP_QUEUE_FULL","NUMBER","Yes","",23,"","YES","YES","YES"
"AUTHENTICATION_DROP_QUEUE_FULL","NUMBER","Yes","",24,"","YES","YES","YES"
"RADIUS_ACCT_REQ_INTERIM_SENT","NUMBER","Yes","",25,"","YES","YES","YES"
"RADIUS_ACCT_REQ_OFF_SENT","NUMBER","Yes","",26,"","YES","YES","YES"
"RADIUS_ACCT_RESP_START_REC","NUMBER","Yes","",27,"","YES","YES","YES"
