"COLUMN_NAME"	"DATA_TYPE"	"NULLABLE"	"DATA_DEFAULT"	"COLUMN_ID"	"COMMENTS"	"INSERTABLE"	"UPDATABLE"	"DELETABLE"
"FAIL_INTER_SGSN_RA_LA_RADIO"	"NUMBER"	"Yes"	""	359	""	"YES"	"YES"	"YES"
"FAIL_INTER_SGSN_RA_LA_SGSN"	"NUMBER"	"Yes"	""	360	""	"YES"	"YES"	"YES"
"FAIL_INTER_SGSN_RA_LA_HLRVLR"	"NUMBER"	"Yes"	""	361	""	"YES"	"YES"	"YES"
"FAIL_INTER_SGSN_RA_LA_COLL"	"NUMBER"	"Yes"	""	362	""	"YES"	"YES"	"YES"
"FAIL_PERIODIC_RA_LA_MS"	"NUMBER"	"Yes"	""	363	""	"YES"	"YES"	"YES"
"FAIL_PERIODIC_RA_LA_RADIO"	"NUMBER"	"Yes"	""	364	""	"YES"	"YES"	"YES"
"FAIL_PERIODIC_RA_LA_SGSN"	"NUMBER"	"Yes"	""	365	""	"YES"	"YES"	"YES"
"FAIL_PERIODIC_RA_LA_COLL"	"NUMBER"	"Yes"	""	366	""	"YES"	"YES"	"YES"
"FAIL_INTRA_PAPU_3G2G_MS"	"NUMBER"	"Yes"	""	367	""	"YES"	"YES"	"YES"
"FAIL_INTRA_PAPU_3G2G_RADIO"	"NUMBER"	"Yes"	""	368	""	"YES"	"YES"	"YES"
"FAIL_INTRA_PAPU_3G2G_SGSN"	"NUMBER"	"Yes"	""	369	""	"YES"	"YES"	"YES"
"FAIL_INTRA_PAPU_3G2G_COLL"	"NUMBER"	"Yes"	""	370	""	"YES"	"YES"	"YES"
"FAIL_INTER_PAPU_3G2G_MS"	"NUMBER"	"Yes"	""	371	""	"YES"	"YES"	"YES"
"FAIL_INTER_PAPU_3G2G_RADIO"	"NUMBER"	"Yes"	""	372	""	"YES"	"YES"	"YES"
"FAIL_INTER_PAPU_3G2G_SGSN"	"NUMBER"	"Yes"	""	373	""	"YES"	"YES"	"YES"
"FAIL_INTER_PAPU_3G2G_COLL"	"NUMBER"	"Yes"	""	374	""	"YES"	"YES"	"YES"
"TEMP001368"	"NUMBER"	"Yes"	""	375	""	"YES"	"YES"	"YES"
"TEMP001369"	"NUMBER"	"Yes"	""	376	""	"YES"	"YES"	"YES"
"TEMP001370"	"NUMBER"	"Yes"	""	377	""	"YES"	"YES"	"YES"
"TEMP001371"	"NUMBER"	"Yes"	""	378	""	"YES"	"YES"	"YES"
"TEMP001372"	"NUMBER"	"Yes"	""	379	""	"YES"	"YES"	"YES"
"TEMP001373"	"NUMBER"	"Yes"	""	380	""	"YES"	"YES"	"YES"
"TEMP001374"	"NUMBER"	"Yes"	""	381	""	"YES"	"YES"	"YES"
"TEMP001375"	"NUMBER"	"Yes"	""	382	""	"YES"	"YES"	"YES"
"TEMP001376"	"NUMBER"	"Yes"	""	383	""	"YES"	"YES"	"YES"
"TEMP001377"	"NUMBER"	"Yes"	""	384	""	"YES"	"YES"	"YES"
"DUR_INTRA_PAPU_3G2G_MIN"	"NUMBER"	"Yes"	""	385	""	"YES"	"YES"	"YES"
"DUR_INTRA_PAPU_3G2G_MAX"	"NUMBER"	"Yes"	""	386	""	"YES"	"YES"	"YES"
"DUR_INTRA_PAPU_3G2G_SUM"	"NUMBER"	"Yes"	""	387	""	"YES"	"YES"	"YES"
"DUR_INTRA_PAPU_3G2G_DEN"	"NUMBER"	"Yes"	""	388	""	"YES"	"YES"	"YES"
"DUR_INTRA_PAPU_3G2G_W_I_MIN"	"NUMBER"	"Yes"	""	389	""	"YES"	"YES"	"YES"
"DUR_INTRA_PAPU_3G2G_W_I_MAX"	"NUMBER"	"Yes"	""	390	""	"YES"	"YES"	"YES"
"DUR_INTRA_PAPU_3G2G_W_I_SUM"	"NUMBER"	"Yes"	""	391	""	"YES"	"YES"	"YES"
"DUR_INTRA_PAPU_3G2G_W_I_DEN"	"NUMBER"	"Yes"	""	392	""	"YES"	"YES"	"YES"
"DUR_INTRA_PAPU_RA_LA_3G2G_MIN"	"NUMBER"	"Yes"	""	393	""	"YES"	"YES"	"YES"
"DUR_INTRA_PAPU_RA_LA_3G2G_MAX"	"NUMBER"	"Yes"	""	394	""	"YES"	"YES"	"YES"
