"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"IU_DUR_INTER_PAPU_2G3G_MIN","NUMBER","Yes","",536,"","YES","YES","YES"
"IU_DUR_INTER_PAPU_2G3G_MAX","NUMBER","Yes","",537,"","YES","YES","YES"
"IU_DUR_INTER_PAPU_2G3G_SUM","NUMBER","Yes","",538,"","YES","YES","YES"
"IU_DUR_INTER_PAPU_2G3G_DEN","NUMBER","Yes","",539,"","YES","YES","YES"
"IU_DUR_INTER_PAPU_2G3G_W_I_MIN","NUMBER","Yes","",540,"","YES","YES","YES"
"IU_DUR_INTER_PAPU_2G3G_W_I_MAX","NUMBER","Yes","",541,"","YES","YES","YES"
"IU_DUR_INTER_PAPU_2G3G_W_I_SUM","NUMBER","Yes","",542,"","YES","YES","YES"
"IU_DUR_INTER_PAPU_2G3G_W_I_DEN","NUMBER","Yes","",543,"","YES","YES","YES"
"IU_DUR_INTER_P_RA_LA_2G3G_MIN","NUMBER","Yes","",544,"","YES","YES","YES"
"IU_DUR_INTER_P_RA_LA_2G3G_MAX","NUMBER","Yes","",545,"","YES","YES","YES"
"IU_DUR_INTER_P_RA_LA_2G3G_SUM","NUMBER","Yes","",546,"","YES","YES","YES"
"IU_DUR_INTER_P_RA_LA_2G3G_DEN","NUMBER","Yes","",547,"","YES","YES","YES"
"FINS_ID","NUMBER","No","",1,"","YES","YES","YES"
"PAPU_INDEX","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"IURAMCC_ID","VARCHAR2(255)","No","",3,"","YES","YES","YES"
"IURAMNC_ID","VARCHAR2(255)","No","",4,"","YES","YES","YES"
"IULAC_ID","VARCHAR2(255)","No","",5,"","YES","YES","YES"
"IURARAC_ID","VARCHAR2(255)","No","",6,"","YES","YES","YES"
"IURARNC_ID","VARCHAR2(255)","No","",7,"","YES","YES","YES"
"IUSAMCC_ID","VARCHAR2(255)","No","",8,"","YES","YES","YES"
"IUSAMNC_ID","VARCHAR2(255)","No","",9,"","YES","YES","YES"
"IUSALAC_ID","VARCHAR2(255)","No","",10,"","YES","YES","YES"
"SAC_ID","VARCHAR2(255)","No","",11,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",12,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",13,"","YES","YES","YES"
"IU_SUCC_GPRS_ATTACH","NUMBER","Yes","",14,"","YES","YES","YES"
"PAPU_GROUP","NUMBER","Yes","",15,"","YES","YES","YES"
"PAPU_PHY","NUMBER","Yes","",16,"","YES","YES","YES"
"PAPU_CAPA","NUMBER","Yes","",17,"","YES","YES","YES"
"PAPU_SM","NUMBER","Yes","",18,"","YES","YES","YES"
"RTPDP_CAPA","NUMBER","Yes","",19,"","YES","YES","YES"
"ABL_RTPDP","NUMBER","Yes","",20,"","YES","YES","YES"
"BL_RTPDP","NUMBER","Yes","",21,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH","NUMBER","Yes","",22,"","YES","YES","YES"
"IU_SUCC_IMSI_ATTACH","NUMBER","Yes","",23,"","YES","YES","YES"
"IU_FAIL_IMSI_ATTACH","NUMBER","Yes","",24,"","YES","YES","YES"
"IU_SUCC_COMBINED_ATTACH","NUMBER","Yes","",25,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_IN_PS","NUMBER","Yes","",26,"","YES","YES","YES"
"IU_SUCC_COMB_ATTACH_ONLY_IN_PS","NUMBER","Yes","",27,"","YES","YES","YES"
"IU_SUCC_MO_GPRS_DETACH","NUMBER","Yes","",28,"","YES","YES","YES"
"IU_SUCC_MO_IMSI_DETACH","NUMBER","Yes","",29,"","YES","YES","YES"
"IU_SUCC_MO_COMBINED_DETACH","NUMBER","Yes","",30,"","YES","YES","YES"
"IU_SUCC_POWER_OFF_DETACH","NUMBER","Yes","",31,"","YES","YES","YES"
"IU_SUCC_NWR_GPRS_DETACH","NUMBER","Yes","",32,"","YES","YES","YES"
"IU_SUCC_NWR_COMBINED_DETACH","NUMBER","Yes","",33,"","YES","YES","YES"
"IU_SUCC_NWR_IMSI_DETACH","NUMBER","Yes","",34,"","YES","YES","YES"
"IU_SUCC_IMPL_GPRS_DETACH","NUMBER","Yes","",35,"","YES","YES","YES"
"IU_SUCC_IMPL_COMBINED_DETACH","NUMBER","Yes","",36,"","YES","YES","YES"
"IU_SUCC_DETACH_BY_DETACH_TIMER","NUMBER","Yes","",37,"","YES","YES","YES"
"IU_GENERAL_UNDEF_DETACH_FAIL","NUMBER","Yes","",38,"","YES","YES","YES"
"IU_SUCC_IN_INTRA_PAPU_RA_UPD","NUMBER","Yes","",39,"","YES","YES","YES"
"IU_FAIL_IN_INTRA_PAPU_RA_UPD","NUMBER","Yes","",40,"","YES","YES","YES"
"IU_SUCC_OG_INTRA_PAPU_RA_UPD","NUMBER","Yes","",41,"","YES","YES","YES"
"IU_FAIL_OG_INTRA_PAPU_RA_UPD","NUMBER","Yes","",42,"","YES","YES","YES"
"IU_SUCC_IN_INTER_PAPU_RA_UPD","NUMBER","Yes","",43,"","YES","YES","YES"
"IU_FAIL_IN_INTER_PAPU_RA_UPD","NUMBER","Yes","",44,"","YES","YES","YES"
"IU_SUCC_OG_INTER_PAPU_RA_UPD","NUMBER","Yes","",45,"","YES","YES","YES"
"IU_FAIL_OG_INTER_PAPU_RA_UPD","NUMBER","Yes","",46,"","YES","YES","YES"
"IU_SUCC_IN_INTER_SGSN_RA_UPD","NUMBER","Yes","",47,"","YES","YES","YES"
"IU_FAIL_IN_INTER_SGSN_RA_UPD","NUMBER","Yes","",48,"","YES","YES","YES"
"IU_SUCC_OG_INTER_SGSN_RA_UPD","NUMBER","Yes","",49,"","YES","YES","YES"
"IU_FAIL_OG_INTER_SGSN_RA_UPD","NUMBER","Yes","",50,"","YES","YES","YES"
"IU_SUCC_PERIODIC_RA_UPD","NUMBER","Yes","",51,"","YES","YES","YES"
"IU_FAIL_PERIODIC_RA_UPD","NUMBER","Yes","",52,"","YES","YES","YES"
"IU_SUCC_COMB_PERIODIC_UPD","NUMBER","Yes","",53,"","YES","YES","YES"
"IU_FAIL_COMB_PERIODIC_UP_PS","NUMBER","Yes","",54,"","YES","YES","YES"
"IU_SUCC_COMB_PERIODIC_UP_PS","NUMBER","Yes","",55,"","YES","YES","YES"
"IU_SUCC_COMB_INTRA_PAPU_UPD","NUMBER","Yes","",56,"","YES","YES","YES"
"IU_FAIL_COMB_INTRA_PAPU_UPD_PS","NUMBER","Yes","",57,"","YES","YES","YES"
"IU_SUCC_COMB_INTRA_PAPU_UPD_PS","NUMBER","Yes","",58,"","YES","YES","YES"
"IU_SUCC_COMB_INTER_PAPU_UPD","NUMBER","Yes","",59,"","YES","YES","YES"
"IU_FAIL_COMB_INTER_PAPU_UPD_PS","NUMBER","Yes","",60,"","YES","YES","YES"
"IU_SUCC_COMB_INTER_PAPU_UPD_PS","NUMBER","Yes","",61,"","YES","YES","YES"
"IU_SUCC_COMB_INTER_SGSN_UPD","NUMBER","Yes","",62,"","YES","YES","YES"
"IU_FAIL_COMB_INTER_SGSN_UPD_PS","NUMBER","Yes","",63,"","YES","YES","YES"
"IU_SUCC_COMB_INTER_SGSN_UPD_PS","NUMBER","Yes","",64,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH_3","NUMBER","Yes","",65,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH_6","NUMBER","Yes","",66,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH_7","NUMBER","Yes","",67,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH_8","NUMBER","Yes","",68,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH_11","NUMBER","Yes","",69,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH_12","NUMBER","Yes","",70,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH_13","NUMBER","Yes","",71,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH_14","NUMBER","Yes","",72,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH_15","NUMBER","Yes","",73,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH_PROT_ERR","NUMBER","Yes","",74,"","YES","YES","YES"
"IU_FAIL_GPRS_ATTACH_OTH_CAUSE","NUMBER","Yes","",75,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_3","NUMBER","Yes","",76,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_6","NUMBER","Yes","",77,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_7","NUMBER","Yes","",78,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_8","NUMBER","Yes","",79,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_11","NUMBER","Yes","",80,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_12","NUMBER","Yes","",81,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_13","NUMBER","Yes","",82,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_14","NUMBER","Yes","",83,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_15","NUMBER","Yes","",84,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_PROT_ERR","NUMBER","Yes","",85,"","YES","YES","YES"
"IU_FAIL_COMB_ATTACH_OTH_CAUSE","NUMBER","Yes","",86,"","YES","YES","YES"
"IU_NWR_GPRS_DETACH_2","NUMBER","Yes","",87,"","YES","YES","YES"
"IU_NWR_GPRS_DETACH_3","NUMBER","Yes","",88,"","YES","YES","YES"
"IU_NWR_GPRS_DETACH_6","NUMBER","Yes","",89,"","YES","YES","YES"
"IU_NWR_GPRS_DETACH_7","NUMBER","Yes","",90,"","YES","YES","YES"
"IU_NWR_GPRS_DETACH_8","NUMBER","Yes","",91,"","YES","YES","YES"
"IU_NWR_GPRS_DETACH_11","NUMBER","Yes","",92,"","YES","YES","YES"
"IU_NWR_GPRS_DETACH_12","NUMBER","Yes","",93,"","YES","YES","YES"
"IU_NWR_GPRS_DETACH_13","NUMBER","Yes","",94,"","YES","YES","YES"
"IU_NWR_GPRS_DETACH_14","NUMBER","Yes","",95,"","YES","YES","YES"
"IU_NWR_GPRS_DETACH_15","NUMBER","Yes","",96,"","YES","YES","YES"
