"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"IU_FAIL_MO_PDP_ACT_FOR_BPSH","NUMBER","Yes","",161,"","YES","YES","YES"
"IU_FAIL_MO_PDP_ACT_FOR_BPSV","NUMBER","Yes","",162,"","YES","YES","YES"
"PAPU_GROUP","NUMBER","Yes","",163,"","YES","YES","YES"
"PAPU_PHY","NUMBER","Yes","",164,"","YES","YES","YES"
"PAPU_CAPA","NUMBER","Yes","",165,"","YES","YES","YES"
"PAPU_SM","NUMBER","Yes","",166,"","YES","YES","YES"
"RTPDP_CAPA","NUMBER","Yes","",167,"","YES","YES","YES"
"ABL_RTPDP","NUMBER","Yes","",168,"","YES","YES","YES"
"BL_RTPDP","NUMBER","Yes","",169,"","YES","YES","YES"
"IU_MO_PDP_ACT_APN_RCV_FROM_UE","NUMBER","Yes","",170,"","YES","YES","YES"
"IU_SUCC_MO_PDP_ACT_APN_REPLACE","NUMBER","Yes","",171,"","YES","YES","YES"
"IU_NWR_DEA_ABO_MNR","NUMBER","Yes","",172,"","YES","YES","YES"
"IU_FAIL_PDP_CON_DEACT_HLR","NUMBER","Yes","",109,"","YES","YES","YES"
"IU_RT_PDP_QOS_DOWNGRADED","NUMBER","Yes","",110,"","YES","YES","YES"
"IU_NRT_PDP_QOS_DOWNGRADED","NUMBER","Yes","",111,"","YES","YES","YES"
"IU_GGSN_QOS_UPGRADE_REJECTED","NUMBER","Yes","",112,"","YES","YES","YES"
"IU_SUCC_PDP_CON_MOD","NUMBER","Yes","",113,"","YES","YES","YES"
"IU_FAIL_PDP_CON_MOD","NUMBER","Yes","",114,"","YES","YES","YES"
"IU_SUCC_NWR_PDP_CON_DEACT","NUMBER","Yes","",115,"","YES","YES","YES"
"IU_FAIL_NWR_PDP_CON_DEACT","NUMBER","Yes","",116,"","YES","YES","YES"
"TEMP017105","NUMBER","Yes","",117,"","YES","YES","YES"
"TEMP017106","NUMBER","Yes","",118,"","YES","YES","YES"
"TEMP017107","NUMBER","Yes","",119,"","YES","YES","YES"
"TEMP017108","NUMBER","Yes","",120,"","YES","YES","YES"
"TEMP017109","NUMBER","Yes","",121,"","YES","YES","YES"
"TEMP017110","NUMBER","Yes","",122,"","YES","YES","YES"
"TEMP017111","NUMBER","Yes","",123,"","YES","YES","YES"
"TEMP017112","NUMBER","Yes","",124,"","YES","YES","YES"
"TEMP017113","NUMBER","Yes","",125,"","YES","YES","YES"
"TEMP017114","NUMBER","Yes","",126,"","YES","YES","YES"
"IU_DUR_MO_PDP_ACT_MIN","NUMBER","Yes","",127,"","YES","YES","YES"
"IU_DUR_MO_PDP_ACT_MAX","NUMBER","Yes","",128,"","YES","YES","YES"
"IU_DUR_MO_PDP_ACT_SUM","NUMBER","Yes","",129,"","YES","YES","YES"
"IU_DUR_MO_PDP_MOD_MIN","NUMBER","Yes","",130,"","YES","YES","YES"
"IU_DUR_MO_PDP_MOD_MAX","NUMBER","Yes","",131,"","YES","YES","YES"
"IU_DUR_MO_PDP_MOD_SUM","NUMBER","Yes","",132,"","YES","YES","YES"
"IU_DUR_MO_PDP_DEACT_MIN","NUMBER","Yes","",133,"","YES","YES","YES"
"IU_DUR_MO_PDP_DEACT_MAX","NUMBER","Yes","",134,"","YES","YES","YES"
"IU_DUR_MO_PDP_DEACT_SUM","NUMBER","Yes","",135,"","YES","YES","YES"
"IU_SEC_MO_PDP_ACT_F_MUL_CTX","NUMBER","Yes","",136,"","YES","YES","YES"
"IU_MO_PDP_ACT_F_MUL_CTX","NUMBER","Yes","",137,"","YES","YES","YES"
"IU_FAIL_MO_PDP_CONTEXT_ACT_IN","NUMBER","Yes","",138,"","YES","YES","YES"
"IU_SUCC_MO_PDP_CTX_ACT_SGW","NUMBER","Yes","",139,"","YES","YES","YES"
"IU_FAIL_MO_PDP_ACT_REJ_SGW","NUMBER","Yes","",140,"","YES","YES","YES"
"IU_SUCC_MO_SEC_PDP_ACT_SGW","NUMBER","Yes","",141,"","YES","YES","YES"
"IU_FAIL_MO_SEC_PDP_ACT_REJ_SGW","NUMBER","Yes","",142,"","YES","YES","YES"
"IU_SUCC_PDP_MOD_BY_MS_TO_SGW","NUMBER","Yes","",143,"","YES","YES","YES"
"IU_FAIL_PDP_MOD_BY_MS_TO_SGW","NUMBER","Yes","",144,"","YES","YES","YES"
"IU_SUCC_PDP_MOD_BY_SGSN_TO_SGW","NUMBER","Yes","",145,"","YES","YES","YES"
"IU_FAIL_PDP_MOD_BY_SGSN_TO_SGW","NUMBER","Yes","",146,"","YES","YES","YES"
"IU_SUCC_PDP_CON_MOD_BY_SGW","NUMBER","Yes","",147,"","YES","YES","YES"
"IU_FAIL_PDP_CON_MOD_BY_SGW","NUMBER","Yes","",148,"","YES","YES","YES"
"IU_SGW_QOS_UPGRADE_REJECTED","NUMBER","Yes","",149,"","YES","YES","YES"
"IU_SUCC_PDP_DEACT_BY_MS_TO_SGW","NUMBER","Yes","",150,"","YES","YES","YES"
"IU_FAIL_PDP_DEACT_BY_MS_TO_SGW","NUMBER","Yes","",151,"","YES","YES","YES"
"IU_SUCC_PDP_DEACT_SGSN_TO_SGW","NUMBER","Yes","",152,"","YES","YES","YES"
"IU_FAIL_PDP_DEACT_SGSN_TO_SGW","NUMBER","Yes","",153,"","YES","YES","YES"
"IU_SUCC_PDP_CON_DEACT_BY_SGW","NUMBER","Yes","",154,"","YES","YES","YES"
"IU_FAIL_PDP_CON_DEACT_BY_SGW","NUMBER","Yes","",155,"","YES","YES","YES"
"IU_SUCC_NWR_DEACT_SGW_RESTART","NUMBER","Yes","",156,"","YES","YES","YES"
"IU_SUCC_NWR_DEACT_SGW_FAILURE","NUMBER","Yes","",157,"","YES","YES","YES"
"IU_FAIL_IMPL_DEACT_SGW_NO_ANS","NUMBER","Yes","",158,"","YES","YES","YES"
"IU_SUCC_DEACT_SE_SGW_RESET","NUMBER","Yes","",159,"","YES","YES","YES"
"IU_FAIL_MO_PDP_ACT_FOR_BAPS","NUMBER","Yes","",160,"","YES","YES","YES"
"FINS_ID","NUMBER","No","",1,"","YES","YES","YES"
"PAPU_INDEX","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"IURAMCC_ID","VARCHAR2(255)","No","",3,"","YES","YES","YES"
"IURAMNC_ID","VARCHAR2(255)","No","",4,"","YES","YES","YES"
"IULAC_ID","VARCHAR2(255)","No","",5,"","YES","YES","YES"
"IURARAC_ID","VARCHAR2(255)","No","",6,"","YES","YES","YES"
"IURARNC_ID","VARCHAR2(255)","No","",7,"","YES","YES","YES"
"IUSAMCC_ID","VARCHAR2(255)","No","",8,"","YES","YES","YES"
"IUSAMNC_ID","VARCHAR2(255)","No","",9,"","YES","YES","YES"
"IUSALAC_ID","VARCHAR2(255)","No","",10,"","YES","YES","YES"
"SAC_ID","VARCHAR2(255)","No","",11,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",12,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",13,"","YES","YES","YES"
"IU_SUCC_MO_PDP_CON_ACT","NUMBER","Yes","",14,"","YES","YES","YES"
"IU_FAIL_MO_PDP_CON_ACT","NUMBER","Yes","",15,"","YES","YES","YES"
"IU_MO_SEC_PDP_ACTIVATION_SUCC","NUMBER","Yes","",16,"","YES","YES","YES"
"IU_MO_SEC_PDP_ACT_FAILED","NUMBER","Yes","",17,"","YES","YES","YES"
"IU_SUCC_PDP_CON_MOD_BY_MS","NUMBER","Yes","",18,"","YES","YES","YES"
"IU_FAIL_PDP_CON_MOD_BY_MS","NUMBER","Yes","",19,"","YES","YES","YES"
"IU_SUCC_PDP_CON_MOD_BY_SGSN","NUMBER","Yes","",20,"","YES","YES","YES"
