"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"EPS_EME_ATTACH_SUCC_AUTH","NUMBER","Yes","",170,"","YES","YES","YES"
"EPS_EME_ATTACH_FAIL","NUMBER","Yes","",171,"","YES","YES","YES"
"EPS_EME_ATTACH_ATTEMPT","NUMBER","Yes","",172,"","YES","YES","YES"
"EPS_EME_ATTACH_SUCC_UNAUTH","NUMBER","Yes","",173,"","YES","YES","YES"
"EPS_EME_ATTACH_SUCC_UICCLESS","NUMBER","Yes","",174,"","YES","YES","YES"
"EPS_PAGING_VOLTE_ATTEMPT","NUMBER","Yes","",175,"","YES","YES","YES"
"EPS_PAGING_VOLTE_SUCC","NUMBER","Yes","",176,"","YES","YES","YES"
"EPS_PAGING_VOLTE_FAIL","NUMBER","Yes","",177,"","YES","YES","YES"
"EPS_TAU_FAIL_DUE_TA_RA_GRP_CHG","NUMBER","Yes","",178,"","YES","YES","YES"
"EPS_TA_GROUP_DETACHES","NUMBER","Yes","",179,"","YES","YES","YES"
"EPS_ATTACH_WITH_ODB_REJECTED","NUMBER","Yes","",180,"","YES","YES","YES"
"EPS_TAU_WITH_ODB_REJECTED","NUMBER","Yes","",181,"","YES","YES","YES"
"EPS_IS_S3HO_WO_SGW_CHG_IN_SUCC","NUMBER","Yes","",182,"","YES","YES","YES"
"EPS_IS_S3HO_SGW_CHG_IN_SUCC","NUMBER","Yes","",183,"","YES","YES","YES"
"EPS_INTER_SYSTEM_S3HO_IN_FAIL","NUMBER","Yes","",184,"","YES","YES","YES"
"EPS_PAGING_QUICK_ENB_ATTEMPT","NUMBER","Yes","",185,"","YES","YES","YES"
"EPS_PAGING_QUICK_ENB_SUCC","NUMBER","Yes","",186,"","YES","YES","YES"
"EPS_PAGING_ENB_ATTEMPT","NUMBER","Yes","",187,"","YES","YES","YES"
"EPS_PAGING_ENB_SUCC","NUMBER","Yes","",188,"","YES","YES","YES"
"EPS_PAGING_ENB_GROUP_ATTEMPT","NUMBER","Yes","",189,"","YES","YES","YES"
"EPS_PAGING_ENB_GROUP_SUCC","NUMBER","Yes","",190,"","YES","YES","YES"
"EPS_PAGING_TA_ATTEMPT","NUMBER","Yes","",191,"","YES","YES","YES"
"EPS_PAGING_TA_SUCC","NUMBER","Yes","",192,"","YES","YES","YES"
"EPS_PAGING_TA_LIST_ATTEMPT","NUMBER","Yes","",193,"","YES","YES","YES"
"EPS_PAGING_TA_LIST_SUCC","NUMBER","Yes","",194,"","YES","YES","YES"
"EPS_PAGING_DURATION","NUMBER","Yes","",195,"","YES","YES","YES"
"EPS_ABNORMAL_ATTACH_REJECTED","NUMBER","Yes","",196,"","YES","YES","YES"
"EPS_ABNORMAL_ATTACH_DROPPED","NUMBER","Yes","",197,"","YES","YES","YES"
"EPS_ABNORMAL_SERV_REQ_REJECTED","NUMBER","Yes","",198,"","YES","YES","YES"
"EPS_ABNORMAL_SERV_REQ_DETACHED","NUMBER","Yes","",199,"","YES","YES","YES"
"EPS_ABNORMAL_SERV_REQ_DROPPED","NUMBER","Yes","",200,"","YES","YES","YES"
"EPS_ATTACH_NAS_05_FAIL","NUMBER","Yes","",201,"","YES","YES","YES"
"EPS_ATTACH_NAS_07_USER_FAIL","NUMBER","Yes","",202,"","YES","YES","YES"
"EPS_ATTACH_NAS_15_FAIL","NUMBER","Yes","",203,"","YES","YES","YES"
"EPS_ATTACH_NAS_15_USER_FAIL","NUMBER","Yes","",204,"","YES","YES","YES"
"EPS_ATTACH_NAS_19_FAIL","NUMBER","Yes","",205,"","YES","YES","YES"
