"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"PEAK_PC4_PDP_CONT","NUMBER","Yes","",37,"","YES","YES","YES"
"AVG_PC_STR_PDP_SUM","NUMBER","Yes","",38,"","YES","YES","YES"
"AVG_PC_STR_PDP_DEN","NUMBER","Yes","",39,"","YES","YES","YES"
"MIN_PC_STR_PDP_CONT","NUMBER","Yes","",40,"","YES","YES","YES"
"PEAK_PC_STR_PDP_CONT","NUMBER","Yes","",41,"","YES","YES","YES"
"AVG_PC_CON_PDP_SUM","NUMBER","Yes","",42,"","YES","YES","YES"
"AVG_PC_CON_PDP_DEN","NUMBER","Yes","",43,"","YES","YES","YES"
"MIN_PC_CON_PDP_CONT","NUMBER","Yes","",44,"","YES","YES","YES"
"PEAK_PC_CON_PDP_CONT","NUMBER","Yes","",45,"","YES","YES","YES"
"AVG_GB_PDP_CONT_SUM","NUMBER","Yes","",46,"","YES","YES","YES"
"AVG_GB_PDP_CONT_DEN","NUMBER","Yes","",47,"","YES","YES","YES"
"MIN_GB_PDP_CONT","NUMBER","Yes","",48,"","YES","YES","YES"
"PEAK_GB_PDP_CONT","NUMBER","Yes","",49,"","YES","YES","YES"
"AVG_IU_PDP_CONT_SUM","NUMBER","Yes","",50,"","YES","YES","YES"
"AVG_IU_PDP_CONT_DEN","NUMBER","Yes","",51,"","YES","YES","YES"
"MIN_IU_PDP_CONT","NUMBER","Yes","",52,"","YES","YES","YES"
"PEAK_IU_PDP_CONT","NUMBER","Yes","",53,"","YES","YES","YES"
"MIN_PDP_CONT_GB_IU","NUMBER","Yes","",54,"","YES","YES","YES"
"PEAK_PDP_CONT_GB_IU","NUMBER","Yes","",55,"","YES","YES","YES"
"ACTIVE_SUBS_PER_PAPU_SUM","NUMBER","Yes","",56,"","YES","YES","YES"
"ACTIVE_SUBS_PER_PAPU_DEN","NUMBER","Yes","",57,"","YES","YES","YES"
"MIN_ACTIVE_SUBS_PER_PAPU","NUMBER","Yes","",58,"","YES","YES","YES"
