"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"EPS_IDENTITY_REQUEST_FAIL","NUMBER","Yes","",10,"","YES","YES","YES"
"EPS_AUTH_20_FAIL","NUMBER","Yes","",11,"","YES","YES","YES"
"EPS_AUTH_21_FAIL","NUMBER","Yes","",12,"","YES","YES","YES"
"EPS_AUTH_26_FAIL","NUMBER","Yes","",13,"","YES","YES","YES"
"EPS_NO_RESPONSE_FROM_UE_FAIL","NUMBER","Yes","",14,"","YES","YES","YES"
"FINS_ID","NUMBER","No","",1,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",2,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",3,"","YES","YES","YES"
"EPS_AUTH_SUCC","NUMBER","Yes","",4,"","YES","YES","YES"
"EPS_AUTH_FAIL_BY_UE","NUMBER","Yes","",5,"","YES","YES","YES"
"EPS_AUTH_REJECT_BY_MME","NUMBER","Yes","",6,"","YES","YES","YES"
"EPS_SEC_MODE_PROC_SUCC","NUMBER","Yes","",7,"","YES","YES","YES"
"EPS_SEC_MODE_PROC_FAIL","NUMBER","Yes","",8,"","YES","YES","YES"
"EPS_IDENTITY_REQUEST_SUCC","NUMBER","Yes","",9,"","YES","YES","YES"
