"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"PDN_UEINIT_ACT_GW_MOD_BR_FAIL","NUMBER","Yes","",93,"","YES","YES","YES"
"PDN_UEINIT_ACT_UNSPEC_FAIL","NUMBER","Yes","",94,"","YES","YES","YES"
"FINS_ID","NUMBER","No","",1,"","YES","YES","YES"
"MCC_ID","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"MNC_ID","VARCHAR2(255)","No","",3,"","YES","YES","YES"
"TA_ID","VARCHAR2(255)","No","",4,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",5,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",6,"","YES","YES","YES"
"CHANGE_NOTIFY_FAIL","NUMBER","Yes","",64,"","YES","YES","YES"
"EPS_DDBEARER_PDN_CONN_ATTEMPT","NUMBER","Yes","",65,"","YES","YES","YES"
"EPS_DDBEARER_PDN_CONN_SUCC","NUMBER","Yes","",66,"","YES","YES","YES"
"EPS_DDBEARER_PDN_CONN_DISCARD","NUMBER","Yes","",67,"","YES","YES","YES"
"EPS_ABNORMAL_PDN_REJECTED","NUMBER","Yes","",68,"","YES","YES","YES"
"EPS_ABNORMAL_PDN_DETACHED","NUMBER","Yes","",69,"","YES","YES","YES"
"EPS_ABNORMAL_PDN_DROPPED","NUMBER","Yes","",70,"","YES","YES","YES"
"EPS_ATTACH_INC_APN_RCV_HOME","NUMBER","Yes","",71,"","YES","YES","YES"
"EPS_ATTACH_INC_APN_RCV_ROAM","NUMBER","Yes","",72,"","YES","YES","YES"
"EPS_ATTACH_APN_REPLACED_HOME","NUMBER","Yes","",73,"","YES","YES","YES"
"EPS_ATTACH_APN_REPLACED_ROAM","NUMBER","Yes","",74,"","YES","YES","YES"
"EPS_PDN_CONN_INC_APN_RCV_HOME","NUMBER","Yes","",75,"","YES","YES","YES"
"EPS_PDN_CONN_INC_APN_RCV_ROAM","NUMBER","Yes","",76,"","YES","YES","YES"
"EPS_PDN_CONN_APN_REPLACED_HOME","NUMBER","Yes","",77,"","YES","YES","YES"
"EPS_PDN_CONN_APN_REPLACED_ROAM","NUMBER","Yes","",78,"","YES","YES","YES"
"PDN_UEINIT_ACT_ATTEMPT","NUMBER","Yes","",79,"","YES","YES","YES"
"PDN_UEINIT_ACT_NAS_08_FAIL","NUMBER","Yes","",80,"","YES","YES","YES"
"PDN_UEINIT_ACT_NAS_27_FAIL","NUMBER","Yes","",81,"","YES","YES","YES"
"PDN_UEINIT_ACT_NAS_28_FAIL","NUMBER","Yes","",82,"","YES","YES","YES"
"PDN_UEINIT_ACT_NAS_29_FAIL","NUMBER","Yes","",83,"","YES","YES","YES"
"PDN_UEINIT_ACT_NAS_31_FAIL","NUMBER","Yes","",84,"","YES","YES","YES"
"EPS_BR_RS_ALLOC_ATTEMPT","NUMBER","Yes","",85,"","YES","YES","YES"
"EPS_BR_RS_ALLOC_SUCC","NUMBER","Yes","",86,"","YES","YES","YES"
"EPS_BR_RS_ALLOC_NAS_30_FAIL","NUMBER","Yes","",87,"","YES","YES","YES"
"EPS_BR_RS_ALLOC_NAS_31_FAIL","NUMBER","Yes","",88,"","YES","YES","YES"
"EPS_BR_RS_ALLOC_NAS_33_FAIL","NUMBER","Yes","",89,"","YES","YES","YES"
"EPS_BR_RS_ALLOC_NAS_35_FAIL","NUMBER","Yes","",90,"","YES","YES","YES"
"PDN_UEINIT_ACT_DNS_FAIL","NUMBER","Yes","",91,"","YES","YES","YES"
"PDN_UEINIT_ACT_GW_CR_SESS_FAIL","NUMBER","Yes","",92,"","YES","YES","YES"
"EPS_DEF_BEARER_ACT_SUCC","NUMBER","Yes","",7,"","YES","YES","YES"
"EPS_DEF_BEARER_ACT_FAIL","NUMBER","Yes","",8,"","YES","YES","YES"
"EPS_DEF_BEARER_DEACT","NUMBER","Yes","",9,"","YES","YES","YES"
"GW_INIT_BEARER_MOD_SUCCESS","NUMBER","Yes","",10,"","YES","YES","YES"
"GW_INIT_BEARER_MOD_FAILURE","NUMBER","Yes","",11,"","YES","YES","YES"
"GW_INIT_BEARER_MOD_FAIL_UE","NUMBER","Yes","",12,"","YES","YES","YES"
"GW_INIT_BEARER_MOD_FAIL_ENB","NUMBER","Yes","",13,"","YES","YES","YES"
"GW_INIT_BEARER_MOD_FAIL_SGW","NUMBER","Yes","",14,"","YES","YES","YES"
"GW_INIT_BEARER_MOD_FAIL_MME","NUMBER","Yes","",15,"","YES","YES","YES"
"HSS_INIT_BEARER_MOD_SUCCESS","NUMBER","Yes","",16,"","YES","YES","YES"
"HSS_INIT_BEARER_MOD_FAILURE","NUMBER","Yes","",17,"","YES","YES","YES"
"HSS_INIT_BEARER_MOD_FAIL_UE","NUMBER","Yes","",18,"","YES","YES","YES"
"HSS_INIT_BEARER_MOD_FAIL_ENB","NUMBER","Yes","",19,"","YES","YES","YES"
"HSS_INIT_BEARER_MOD_FAIL_SGW","NUMBER","Yes","",20,"","YES","YES","YES"
"PDN_CONNECTIVITY_SUCCESSFUL","NUMBER","Yes","",21,"","YES","YES","YES"
"PDN_CONNECTIVITY_FAILED","NUMBER","Yes","",22,"","YES","YES","YES"
"PDN_CONNECTIVITY_FAILED_MME","NUMBER","Yes","",23,"","YES","YES","YES"
"PDN_CONNECTIVITY_FAILED_SGW","NUMBER","Yes","",24,"","YES","YES","YES"
"PDN_CONNECTIVITY_FAILED_UE","NUMBER","Yes","",25,"","YES","YES","YES"
"PDN_CONNECTIVITY_FAILED_ENB","NUMBER","Yes","",26,"","YES","YES","YES"
"CHANGE_NOTIFY_SUCC","NUMBER","Yes","",63,"","YES","YES","YES"
"PDN_CONNECT_FAILED_COLLISION","NUMBER","Yes","",27,"","YES","YES","YES"
"PDN_CONNECT_FAILED_UNSPECIFIED","NUMBER","Yes","",28,"","YES","YES","YES"
"DDBEARER_HSSINIT_MOD_SUCC","NUMBER","Yes","",29,"","YES","YES","YES"
"DDBEARER_HSSINIT_MOD_FAIL","NUMBER","Yes","",30,"","YES","YES","YES"
"DDBEARER_PGWINIT_ACT_SUCC","NUMBER","Yes","",31,"","YES","YES","YES"
"DDBEARER_PGWINIT_ACT_FAIL","NUMBER","Yes","",32,"","YES","YES","YES"
"DDBEARER_PGWINIT_MOD_SUCC","NUMBER","Yes","",33,"","YES","YES","YES"
"DDBEARER_PGWINIT_MOD_FAIL","NUMBER","Yes","",34,"","YES","YES","YES"
"DDBEARER_PGWINIT_DEACT_SUCC","NUMBER","Yes","",35,"","YES","YES","YES"
"DDBEARER_MMEINIT_DEACT_SUCC","NUMBER","Yes","",36,"","YES","YES","YES"
"DDBEARER_MMEINIT_DEACT_ABNORM","NUMBER","Yes","",37,"","YES","YES","YES"
"DDBEARER_UEINIT_ACT_SUCC","NUMBER","Yes","",38,"","YES","YES","YES"
"DDBEARER_UEINIT_ACT_FAIL","NUMBER","Yes","",39,"","YES","YES","YES"
"DDBEARER_UEINIT_MOD_SUCC","NUMBER","Yes","",40,"","YES","YES","YES"
"DDBEARER_UEINIT_MOD_FAIL","NUMBER","Yes","",41,"","YES","YES","YES"
"DDBEARER_UEINIT_DEACT_SUCC","NUMBER","Yes","",42,"","YES","YES","YES"
"DDBEARER_UEINIT_DEACT_FAIL","NUMBER","Yes","",43,"","YES","YES","YES"
"EPS_DEF_BEARER_ACT_MME_FAIL","NUMBER","Yes","",44,"","YES","YES","YES"
"EPS_DDBEARER_REQ_BY_MME","NUMBER","Yes","",45,"","YES","YES","YES"
"EPS_DDBEARE_CONF_BY_UE","NUMBER","Yes","",46,"","YES","YES","YES"
"EPS_DFBEARER_S5_S8_REQ_BY_MME","NUMBER","Yes","",47,"","YES","YES","YES"
"EPS_DFBEARER_S5_S8_CONF_BY_SGW","NUMBER","Yes","",48,"","YES","YES","YES"
"EPS_DDBEARER_S5_S8_REQ_BY_MME","NUMBER","Yes","",49,"","YES","YES","YES"
"EPS_DDBEARER_S5_S8_CONF_BY_SGW","NUMBER","Yes","",50,"","YES","YES","YES"
"EMCALL_PDN_CONN_SUCC","NUMBER","Yes","",51,"","YES","YES","YES"
"EMCALL_PDN_CONN_FAIL","NUMBER","Yes","",52,"","YES","YES","YES"
"EMCALL_DED_BEARER_ACT_SUCC","NUMBER","Yes","",53,"","YES","YES","YES"
"EMCALL_DED_BEARER_ACT_FAIL","NUMBER","Yes","",54,"","YES","YES","YES"
"EPS_PDN_ACT_FOR_VOLTE_SUCC","NUMBER","Yes","",55,"","YES","YES","YES"
"EPS_PDN_ACT_FOR_VOLTE_FAIL","NUMBER","Yes","",56,"","YES","YES","YES"
"EPS_DD_BEARER_VOLTE_ACT_SUCC","NUMBER","Yes","",57,"","YES","YES","YES"
"EPS_DD_BEARER_VOLTE_ACT_FAIL","NUMBER","Yes","",58,"","YES","YES","YES"
"EPS_BEARER_REJ_DUE_QOS_LIMIT","NUMBER","Yes","",59,"","YES","YES","YES"
"EPS_DEF_BEARER_ACT_VOLTE_SUCC","NUMBER","Yes","",60,"","YES","YES","YES"
"EPS_DEF_BEARER_ACT_VOLTE_FAIL","NUMBER","Yes","",61,"","YES","YES","YES"
"EPS_PDN_CONN_WITH_ODB_REJECTED","NUMBER","Yes","",62,"","YES","YES","YES"
