COLUMN_NAME,DATA_TYPE,NULLABLE,DATA_DEFAULT,COLUMN_ID,COMMENTS,INSERTABLE,UPDATABLE,DELETABLE
FAIL_MO_PDP_CTX_DEACT_SGW,NUMBER,Yes,,168,,YES,YES,YES
SUCC_PDP_DEACT_BY_SGW,NUMBER,Yes,,169,,YES,YES,YES
FAIL_PDP_DEACT_BY_SGW,NUMBER,Yes,,170,,YES,YES,YES
SUCC_PDP_DEACT_BY_SGSN_TO_SGW,NUMBER,Yes,,171,,YES,YES,YES
FAIL_PDP_DEACT_BY_SGSN_TO_SGW,NUMBER,Yes,,172,,YES,YES,YES
SUCC_DEACT_SE_SGW_RESET,NUMBER,Yes,,173,,YES,YES,YES
FAIL_MO_PDP_ACT_FOR_BAPS,NUMBER,Yes,,174,,YES,YES,YES
FAIL_MO_PDP_ACT_FOR_BPSH,NUMBER,Yes,,175,,YES,YES,YES
FAIL_MO_PDP_ACT_FOR_BPSV,NUMBER,Yes,,176,,YES,YES,YES
FAIL_MO_PDP_CONTEXT_ACT_IN,NUMBER,Yes,,177,,YES,YES,YES
FAIL_INT_PAPU_PDP_CON_REACT_IN,NUMBER,Yes,,178,,YES,YES,YES
FAIL_MO_PDP_ACT_ACT_RE_GGSN,NUMBER,Yes,,179,,YES,YES,YES
MO_PDP_ACT_APN_RCV_FROM_UE,NUMBER,Yes,,180,,YES,YES,YES
SUCC_MO_PDP_ACT_APN_REPLACED,NUMBER,Yes,,181,,YES,YES,YES
SUCC_PDP_MODIFY_BY_SGSN_TO_SGW,NUMBER,Yes,,163,,YES,YES,YES
FAIL_PDP_MODIFY_BY_SGSN_TO_SGW,NUMBER,Yes,,164,,YES,YES,YES
SUCC_PDP_MODIFY_BY_MS_TO_SGW,NUMBER,Yes,,165,,YES,YES,YES
FAIL_PDP_MODIFY_BY_MS_TO_SGW,NUMBER,Yes,,166,,YES,YES,YES
SUCC_MO_PDP_CTX_DEACT_SGW,NUMBER,Yes,,167,,YES,YES,YES
NRT_PDP_QOS_DOWNGRADED,NUMBER,Yes,,74,,YES,YES,YES
GGSN_QOS_UPGRADE_REJECTED,NUMBER,Yes,,75,,YES,YES,YES
RT_MO_PDP_ACT_FAIL_DUE_BW_ARP1,NUMBER,Yes,,76,,YES,YES,YES
RT_MO_PDP_ACT_FAIL_DUE_BW_ARP2,NUMBER,Yes,,77,,YES,YES,YES
RT_MO_PDP_ACT_FAIL_DUE_BW_ARP3,NUMBER,Yes,,78,,YES,YES,YES
RT_PDP_CON_MOD_FAIL_BW_ARP1,NUMBER,Yes,,79,,YES,YES,YES
RT_PDP_CON_MOD_FAIL_BW_ARP2,NUMBER,Yes,,80,,YES,YES,YES
RT_PDP_CON_MOD_FAIL_BW_ARP3,NUMBER,Yes,,81,,YES,YES,YES
PREV_TRIG_TO_SCP_ACC_APN_LIST,NUMBER,Yes,,82,,YES,YES,YES
RT_PDP_ACT_SUCC,NUMBER,Yes,,83,,YES,YES,YES
RT_PDP_MOD_SUCC,NUMBER,Yes,,84,,YES,YES,YES
GENERAL_UNDEF_ACT_FAILURE,NUMBER,Yes,,85,,YES,YES,YES
RT_PDP_ACT_FAIL_AVG_LOAD_LIMIT,NUMBER,Yes,,86,,YES,YES,YES
RT_PDP_MOD_FAIL_AVG_LOAD_LIMIT,NUMBER,Yes,,87,,YES,YES,YES
DUR_MO_PDP_ACT_MIN,NUMBER,Yes,,88,,YES,YES,YES
DUR_MO_PDP_ACT_MAX,NUMBER,Yes,,89,,YES,YES,YES
DUR_MO_PDP_ACT_SUM,NUMBER,Yes,,90,,YES,YES,YES
DUR_MO_PDP_MOD_MIN,NUMBER,Yes,,91,,YES,YES,YES
DUR_MO_PDP_MOD_MAX,NUMBER,Yes,,92,,YES,YES,YES
DUR_MO_PDP_MOD_SUM,NUMBER,Yes,,93,,YES,YES,YES
DUR_MO_PDP_DEACT_MIN,NUMBER,Yes,,94,,YES,YES,YES
DUR_MO_PDP_DEACT_MAX,NUMBER,Yes,,95,,YES,YES,YES
DUR_MO_PDP_DEACT_SUM,NUMBER,Yes,,96,,YES,YES,YES
SUCC_PDP_ACT_ROAMING,NUMBER,Yes,,97,,YES,YES,YES
FAIL_PDP_ACT_ROAMING,NUMBER,Yes,,98,,YES,YES,YES
SUCC_PDP_DEACT_BY_GGSN,NUMBER,Yes,,99,,YES,YES,YES
FAIL_PDP_DEACT_BY_GGSN,NUMBER,Yes,,100,,YES,YES,YES
SUCC_PDP_DEACT_BY_HLR,NUMBER,Yes,,101,,YES,YES,YES
FAIL_PDP_DEACT_BY_HLR,NUMBER,Yes,,102,,YES,YES,YES
SUCC_PDP_DEACT_BY_SCP,NUMBER,Yes,,103,,YES,YES,YES
FAIL_PDP_DEACT_BY_SCP,NUMBER,Yes,,104,,YES,YES,YES
SUCC_PDP_DEACT_BY_SGSN,NUMBER,Yes,,105,,YES,YES,YES
FAIL_PDP_DEACT_BY_SGSN,NUMBER,Yes,,106,,YES,YES,YES
SUCC_PDP_MODIFY_BY_GGSN,NUMBER,Yes,,107,,YES,YES,YES
FAIL_PDP_MODIFY_BY_GGSN,NUMBER,Yes,,108,,YES,YES,YES
SUCC_PDP_MODIFY_BY_SGSN,NUMBER,Yes,,109,,YES,YES,YES
FAIL_PDP_MODIFY_BY_SGSN,NUMBER,Yes,,110,,YES,YES,YES
SUCC_PDP_MODIFY_BY_BSS,NUMBER,Yes,,111,,YES,YES,YES
FAIL_PDP_MODIFY_BY_BSS,NUMBER,Yes,,112,,YES,YES,YES
SUCC_PDP_MODIFY_BY_MS,NUMBER,Yes,,113,,YES,YES,YES
FAIL_PDP_MODIFY_BY_MS,NUMBER,Yes,,114,,YES,YES,YES
FAIL_MO_PDP_CONT_ACT_GEN,NUMBER,Yes,,115,,YES,YES,YES
FAIL_MO_SEC_PDP_CONT_ACT_GEN,NUMBER,Yes,,116,,YES,YES,YES
FAIL_MO_PDP_CONT_MOD_GEN,NUMBER,Yes,,117,,YES,YES,YES
SUCC_MO_PDP_CONT_DEACT_GEN,NUMBER,Yes,,118,,YES,YES,YES
SUCC_NWR_PDP_CONT_DEACT_GEN,NUMBER,Yes,,119,,YES,YES,YES
