"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS"
"CONSEC_NBR","NUMBER","No","",1,""
"DN","VARCHAR2(400 BYTE)","Yes","",2,""
"ALARM_TYPE","NUMBER","Yes","",3,""
"ALARM_STATUS","NUMBER","No","",4,""
"ORIGINAL_SEVERITY","NUMBER","Yes","",5,""
"ALARM_TIME","DATE","No","",6,""
"CANCEL_TIME","DATE","Yes","",7,""
"CANCELLED_BY","VARCHAR2(64 BYTE)","Yes","",8,""
"ACK_STATUS","NUMBER","Yes","",9,""
"ACK_TIME","DATE","Yes","",10,""
"ACKED_BY","VARCHAR2(64 BYTE)","Yes","",11,""
"ALARM_NUMBER","NUMBER","No","",12,""
"SEVERITY","NUMBER","No","",13,""
"NOTIFICATION_ID","VARCHAR2(128 BYTE)","No","",14,""
"FILTERED_FROM","NUMBER","Yes","",15,""
"TEXT","VARCHAR2(1024 BYTE)","Yes","",16,""
"EVENT_TIME","DATE","Yes","",17,""
"INSERT_TIME","DATE","Yes","",18,""
"TROUBLE_TICKET_ID","VARCHAR2(20 BYTE)","Yes","",19,""
"INTERNAL_ALARM","NUMBER","Yes","",20,""
"EXTRA_TEXT","VARCHAR2(1024 BYTE)","Yes","",21,""
"USER_ADDITIONAL_INFO","VARCHAR2(1024 BYTE)","Yes","",22,""
"SUPPLEMENTARY_INFO","VARCHAR2(1024 BYTE)","Yes","",23,""
"DIAGNOSTIC_INFO","VARCHAR2(1024 BYTE)","Yes","",24,""
"ADDITIONAL_TEXT5","VARCHAR2(1024 BYTE)","Yes","",25,""
"ADDITIONAL_TEXT6","VARCHAR2(1024 BYTE)","Yes","",26,""
"ADDITIONAL_TEXT7","VARCHAR2(1024 BYTE)","Yes","",27,""
"PROBABLE_CAUSE","NUMBER","Yes","",28,""
"NE_GID","NUMBER","Yes","",29,""
"NE_CONT_GID","NUMBER","Yes","",30,""
"CORRELATED_ALARM","NUMBER","No","0 ",31,""
"CORRELATING_ALARM","NUMBER","No","0 ",32,""
"UPDATE_TIMESTAMP","TIMESTAMP(6)","No","sysdate ",33,""
"CORRELATOR_CREATED","NUMBER","Yes","",34,""
"PIPE_KEY","NUMBER","No","0 ",35,""
"DELETED_BY","NUMBER","Yes","",36,""
"NOTES_INDICATOR","NUMBER","Yes","",37,""
"ORIGINAL_DN","VARCHAR2(400 BYTE)","Yes","",38,""
"LIFTED_DN","VARCHAR2(400 BYTE)","No","",39,""
"ALARM_UPLOAD_SYNC","NUMBER","Yes","0",40,""
"ADAPTATION_ID","VARCHAR2(64 BYTE)","Yes","",41,""
"ADAPTATION_RELEASE","VARCHAR2(20 BYTE)","Yes","",42,""
"OC_ID","VARCHAR2(100 BYTE)","No","",43,""
"AGENT_ID_TYPE","NUMBER","No","0 ",44,""
"AGENT_ID","VARCHAR2(400 BYTE)","No","",45,""
"ALARM_COUNT","NUMBER","No","0 ",46,""
"TERMINATED_TIME","DATE","Yes","TO_DATE('31.12.9999 23:59:59', 'dd.mm.yyyy hh24:mi:ss')
			",47,""
